Gender,Age,Annual_Income,Policy_Type,Claim_Amount,Claim_date,Study
Male,25,50000,Life,2000,20/8/2022,high-school
Female,30,60000,Health,3568.96,20/8/2022,college
Female,35,65000,Auto,3000,20/8/2022,university
Male,29,72000,Home,3568.96,20/8/2022,college
Male,16,72000,Home,3568.96,20/8/2022,mid-school
Female,43,65000,Auto,3000,20/8/2022,illiterate
Male,22,44444,Life,2100,20/8/2022,high-school
Female,33,60000,Health,2800,20/8/2022,college
Female,41,66666,Auto,3150,20/8/2022,university
Male,40,72000,Home,3640,20/8/2022,college
Male,38,77777,Home,3640,20/8/2022,mid-school
Female,39,65000,Auto,3300,20/8/2022,illiterate
Male,23,50000,Life,2200,20/8/2022,high-school
Female,34,60000,Health,2934,20/8/2022,college
Female,41,65000,Auto,3300,20/8/2022,university
Male,40,72000,Home,3814,20/8/2022,college
Male,38,77777,Home,3987,20/8/2022,mid-school
Female,39,65000,Auto,3450,20/8/2022,illiterate
Male,24,55555,Life,2300,20/8/2022,high-school
Female,35,60000,Health,3067,20/8/2022,college
Female,40,65000,Auto,3600,20/8/2022,university
Male,41,77777,Home,3294,20/8/2022,college
Male,42,70000,Home,3294,20/8/2022,mid-school
Female,43,68000,Auto,2850,20/8/2022,illiterate
Male,29,50000,Life,1800,20/8/2022,high-school
Female,38,60000,Health,2400,20/8/2022,college
Female,44,66666,Auto,2700,20/8/2022,university
Male,42,71500,Home,3120,20/8/2022,college
Male,40,72500,Home,2947,20/8/2022,mid-school
Female,41,65000,Auto,2550,20/8/2022,illiterate
Male,25,50000,Life,1700,20/8/2022,high-school
Female,30,66666,Health,2267,20/8/2022,college
Female,40,65000,Auto,2640,20/8/2022,university
Male,42,73000,Home,3051,20/8/2022,college
Male,43,74000,Home,3051,20/8/2022,mid-school
Female,44,65000,Auto,2640,20/8/2022,illiterate
,122,900000,Health,0,15/6/2022,professor
,121,900000,Health,,15/6/2022,professor
,100,900000,Health,,15/6/2022,professor
,100,900000,Health,,15/6/2022,professor
,100,900000,Health,,15/6/2022,professor
,100,900000,Health,,15/6/2022,professor
,3,900000,Health,,15/6/2022,mid-school
,3,900000,Health,,15/6/2022,mid-school
,4,900000,Health,,15/6/2022,mid-school
,2,900000,Health,,15/6/2022,mid-school
Female,,70000,Life,7000,5/4/2022,illiterate
,122,900000,Health,0,15/6/2022,professor
Female,,70000,Life,7000,5/4/2022,illiterate
,121,900000,Health,,15/6/2022,professor
Male,2,72000,Home,,20/8/2022,mid-school
Female,,70000,Life,7000,5/4/2022,illiterate
,100,900000,Health,,15/6/2022,professor
Female,191,65000,Auto,3000,1/7/2022,illiterate
Female,,70000,Life,7000,5/4/2022,illiterate
,100,900000,Health,,15/6/2022,professor
Female,,70000,Life,7000,5/4/2022,illiterate
,100,900000,Health,,15/6/2022,professor
Female,,70000,Life,7000,5/4/2022,illiterate
,100,900000,Health,,15/6/2022,professor
Female,,70000,Life,7000,5/4/2022,illiterate
Female,,70000,Life,7000,5/4/2022,illiterate
Female,,70000,Life,7000,5/4/2022,illiterate
Female,,70000,Life,7000,5/4/2022,illiterate
,2,900000,Health,,15/6/2022,mid-school
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,122,900000,Health,0,15/6/2022,professor
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,121,900000,Health,,15/6/2022,professor
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Female,45,,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,3,900000,Health,,15/6/2022,mid-school
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,0,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,3,900000,Health,,15/6/2022,mid-school
Female,45,no income,Auto,1500,1/3/2022,masters
Male,50,120000,Home,,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,4,900000,Health,,15/6/2022,mid-school
Female,45,no income,Auto,,1/3/2022,masters
Male,50,120000,Home,,,doctorate
Male,60,80000,,5000,10/5/2022,professor
,2,900000,Health,,15/6/2022,mid-school
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Male,60,80000,,5000,10/5/2022,professor
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,122,900000,Health,0,15/6/2022,professor
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,121,900000,Health,,15/6/2022,professor
Male,2,72000,Home,,20/8/2022,mid-school
Female,30,60000,Health,,20/2/2022,college
Male,50,120000,Home,,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,100,900000,Health,,15/6/2022,professor
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,3,900000,Health,,15/6/2022,mid-school
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,0,20/2/2022,college
Male,50,120000,Home,0,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,3,900000,Health,,15/6/2022,mid-school
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,,20/2/2022,college
Male,50,120000,Home,,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,4,900000,Health,,15/6/2022,mid-school
Male,29,72000,Home,,20/8/2022,college
Female,30,60000,Health,,20/2/2022,college
Female,45,no income,Auto,,1/3/2022,masters
Male,50,120000,Home,,,doctorate
Female,,70000,Life,7000,5/4/2022,illiterate
Male,60,80000,,5000,10/5/2022,professor
,2,900000,Health,,15/6/2022,mid-school
Male,29,72000,Home,,20/8/2022,college
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,,,doctorate
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,0,,doctorate
Male,50,120000,Home,,,doctorate
Male,50,120000,Home,,,doctorate
Male,25,50000,Life,2000,20/8/2022,high-school
Female,30,60000,Health,3568.96,20/8/2022,college